Survey year,Unitid,Institution name,Campus ID,Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2016,110662,University of California-Los Angeles,1,UCLA,43548,0,7,26
2016,110680,University of California-San Diego,1,Main Campus,34979,0,4,0
2015,110583,California State University-Long Beach,1,Main Campus,37446,0,0,0
2015,110608,California State University-Northridge,1,California State University- Northridge,41548,0,0,0
2015,110662,University of California-Los Angeles,1,UCLA,41908,0,8,2
2015,110680,University of California-San Diego,1,Main Campus,32906,0,2,0
2014,110583,California State University-Long Beach,1,Main Campus,36809,0,1,1
2014,110608,California State University-Northridge,1,California State University- Northridge,40131,0,0,1
2014,110662,University of California-Los Angeles,1,UCLA,41845,1,1,44
2014,110680,University of California-San Diego,1,Main Campus,30709,0,5,1
2013,110583,California State University-Long Beach,1,Main Campus,35586,0,0,0
2013,110608,California State University-Northridge,1,California State University- Northridge,38310,0,0,0
2013,110662,University of California-Los Angeles,1,UCLA,40795,2,5,25
2013,110680,University of California-San Diego,1,Main Campus,29517,0,1,0
